generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,mape
1,590041b1-2876-4c5e-8bfe-797645e956c0,trimmed,2,114458,25,0.3,sigmoid,mse,rmsprop,94.0,2,1,"[8, 16]","[(4, 4), (3, 3)]",[64],"(3, 3)",15.6716751020459
1,f1788735-b0f9-4623-b2b1-a9d2067c383f,untrimmed,3,119671,50,0.1,relu,mse,sgd,94.0,2,1,"[64, 64]","[(7, 7), (4, 4)]",[32],"(4, 4)",4.075068990649537
1,f676f493-1165-49b1-8244-7e73dcd68cf2,untrimmed,1,119671,50,0.25,tanh,mse,rmsprop,90.0,3,2,"[32, 64, 16]","[(7, 7), (8, 8), (8, 8)]","[64, 16]","(2, 2)",6.442354657537222
1,75a216b2-22a6-42c1-ae2a-d321725eb7b2,untrimmed,2,114458,20,0.15,tanh,mse,adam,98.0,2,2,"[16, 32]","[(4, 4), (8, 8)]","[16, 16]","(3, 3)",6.490900260830099
1,38d893a4-3239-45fe-bebc-7c63d2b35965,untrimmed,3,119671,45,0.2,relu,mse,adam,86.0,2,3,"[64, 8]","[(5, 5), (4, 4)]","[32, 8, 8]","(3, 3)",4.41229086705331
1,92a5efca-e1bd-4e94-b53e-7dab44e3d8e9,untrimmed,2,114458,40,0.3,sigmoid,mae,rmsprop,98.0,2,3,"[16, 8]","[(8, 8), (5, 5)]","[8, 8, 32]","(2, 2)",4.131842412996621
1,15effe14-53e2-439d-80b1-f8b1031d2071,trimmed,3,119671,20,0.3,sigmoid,mae,sgd,86.0,2,3,"[32, 64]","[(3, 3), (5, 5)]","[32, 8, 16]","(2, 2)",19.04884622636524
1,8722cb09-fe76-4745-b59d-e2e07b9a14b8,untrimmed,1,119671,40,0.2,relu,mse,adam,100.0,2,3,"[32, 16]","[(8, 8), (3, 3)]","[8, 32, 8]","(2, 2)",6.429306790399454
1,001b7921-e0f3-4ec9-916c-312ddd4fbb85,trimmed,3,119671,35,0.2,relu,mae,rmsprop,92.0,1,3,[16],"[(7, 7)]","[32, 16, 8]","(2, 2)",14.590905338247756
1,384d212e-77cd-4e63-be21-0bf2d2bd2e56,trimmed,2,114458,10,0.25,relu,mae,rmsprop,90.0,3,2,"[32, 16, 32]","[(4, 4), (7, 7), (8, 8)]","[64, 32]","(3, 3)",10.345699019690304
1,9ad87b6f-39b6-48f3-849a-631a87e6351b,trimmed,1,119671,50,0.1,sigmoid,mse,rmsprop,82.0,3,2,"[8, 32, 8]","[(4, 4), (3, 3), (7, 7)]","[32, 32]","(4, 4)",19.93307279581603
1,f46814ed-1fe8-4358-8002-8ae57a7a8a35,untrimmed,3,114458,20,0.2,sigmoid,mse,adam,90.0,2,1,"[32, 16]","[(8, 8), (3, 3)]",[64],"(2, 2)",3.8808420996324866
1,be97e953-e467-4628-a4c3-3901dfcf4547,trimmed,3,119671,25,0.25,sigmoid,mse,adam,92.0,1,1,[16],"[(4, 4)]",[8],"(3, 3)",16.23709398992158
1,ba9b3896-41b7-45a9-ad10-65a499655676,trimmed,1,119671,25,0.25,relu,mae,sgd,98.0,3,2,"[32, 8, 8]","[(5, 5), (4, 4), (8, 8)]","[64, 8]","(2, 2)",17.756590065534837
1,14734d39-b88e-46c0-9752-82ec8546d814,trimmed,2,114458,35,0.3,tanh,mae,sgd,82.0,1,2,[16],"[(5, 5)]","[32, 16]","(2, 2)",15.051954232803965
1,2cbe1932-fb41-4b58-a62b-2c51f915aab4,untrimmed,2,114458,40,0.1,tanh,mse,adam,90.0,2,3,"[32, 16]","[(5, 5), (5, 5)]","[32, 64, 16]","(2, 2)",4.223892628460012
1,60a07cdc-9d6a-43fa-ab60-4e5a108bd8c9,untrimmed,3,114458,30,0.2,sigmoid,mae,adam,90.0,3,3,"[8, 64, 8]","[(8, 8), (3, 3), (5, 5)]","[16, 16, 64]","(2, 2)",4.544224838219679
1,ae7f02d8-3d57-4d97-9356-0724cb1043bd,untrimmed,3,119671,25,0.15,tanh,mae,rmsprop,94.0,3,1,"[32, 64, 8]","[(7, 7), (3, 3), (4, 4)]",[8],"(2, 2)",6.448274866891106
1,6e7a99e4-56b4-42df-a287-946d42f7eb78,untrimmed,3,119671,35,0.25,relu,mae,rmsprop,90.0,2,2,"[8, 32]","[(4, 4), (8, 8)]","[8, 64]","(4, 4)",4.219337277871485
2,b2680e9a-601d-4c0c-88d5-e5c6510e7ba1,untrimmed,1,119671,45,0.1,relu,mse,sgd,80.0,2,1,"[32, 8]","[(3, 3), (3, 3)]",[32],"(3, 3)",4.599906071919239
2,921b6077-8fac-4115-9933-c7cde30679a2,untrimmed,3,114458,20,0.2,sigmoid,mse,adam,90.0,2,1,"[32, 16]","[(8, 8), (3, 3)]",[64],"(2, 2)",8.238938893413273
2,e560a396-c2c9-4daa-8acf-81013bf80c8f,untrimmed,3,119671,40,0.1,sigmoid,mse,rmsprop,86.0,2,1,"[64, 16]","[(7, 7), (7, 7)]",[32],"(2, 2)",7.573973668068552
2,8840972c-4977-4928-8527-95b8b5fbb7e2,untrimmed,3,119671,50,0.1,relu,mse,sgd,94.0,2,1,"[64, 64]","[(7, 7), (4, 4)]",[32],"(4, 4)",3.7339212872543848
2,ba6041a2-bbbd-4a17-b275-f2897aae904d,untrimmed,2,114458,40,0.3,sigmoid,mae,rmsprop,98.0,2,3,"[16, 8]","[(8, 8), (5, 5)]","[8, 8, 32]","(2, 2)",14.432875488044983
2,0c92f742-50e7-4564-86c9-bdd65f0eb14f,untrimmed,1,119671,20,0.2,sigmoid,mse,adam,90.0,1,1,[8],"[(4, 4)]",[32],"(2, 2)",7.511030475750527
2,0d407731-d044-4d27-9fdd-d042648fb673,untrimmed,3,119671,30,0.25,relu,mae,rmsprop,94.0,2,1,"[8, 32]","[(8, 8), (4, 4)]",[64],"(3, 3)",4.132177553453678
2,d749e4f7-6998-4600-bfea-59e2f7807a98,untrimmed,3,119671,40,0.15,relu,mae,adam,80.0,1,3,[16],"[(8, 8)]","[8, 32, 32]","(4, 4)",3.591948352634431
2,dfc4947a-66c0-4da0-9e3a-cff986b71502,untrimmed,3,119671,25,0.3,tanh,mae,sgd,98.0,3,2,"[8, 8, 64]","[(4, 4), (3, 3), (3, 3)]","[64, 8]","(4, 4)",4.32271488544831
2,2627e145-bc18-486e-a901-68bb81fecd19,trimmed,3,119671,50,0.15,relu,mae,sgd,96.0,1,1,[64],"[(4, 4)]",[32],"(4, 4)",15.605855118310089
