generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,mape
2,e364e72a-4b06-4441-8788-f922a1e6a79d,trimmed,3,119671,20,0.3,sigmoid,mae,sgd,86.0,2,3,"[32, 64]","[(3, 3), (5, 5)]","[32, 8, 16]","(2, 2)",19.032290747622664
2,8bd3e1f7-8fad-41cb-b24b-a671786b4ac4,untrimmed,1,119671,40,0.2,relu,mse,adam,100.0,2,3,"[32, 16]","[(8, 8), (3, 3)]","[8, 32, 8]","(2, 2)",4.889355033311512
2,75490a4f-506e-494f-b224-4abb8aa77d41,trimmed,3,119671,35,0.2,relu,mae,rmsprop,92.0,1,3,[16],"[(7, 7)]","[32, 16, 8]","(2, 2)",14.182022709527716
2,0f994543-5eb4-48c7-be80-feefba37e06d,trimmed,2,114458,10,0.25,relu,mae,rmsprop,90.0,3,2,"[32, 16, 32]","[(4, 4), (7, 7), (8, 8)]","[64, 32]","(3, 3)",11.775846498211544
2,eb088032-6a82-4b14-9ee1-fc1a51822a89,trimmed,1,119671,50,0.1,sigmoid,mse,rmsprop,82.0,3,2,"[8, 32, 8]","[(4, 4), (3, 3), (7, 7)]","[32, 32]","(4, 4)",19.84700570967348
2,9e72770c-ccfe-4ead-9c04-3dbaa1427512,trimmed,3,119671,25,0.25,sigmoid,mse,adam,92.0,1,1,[16],"[(4, 4)]",[8],"(3, 3)",16.556941479566905
2,e7ac9caa-a7e3-4831-9103-003607ea3d73,trimmed,1,119671,25,0.25,relu,mae,sgd,98.0,3,2,"[32, 8, 8]","[(5, 5), (4, 4), (8, 8)]","[64, 8]","(2, 2)",19.78372460082991
2,120a784f-7598-4719-9363-de0ded8487f5,trimmed,2,114458,35,0.3,tanh,mae,sgd,82.0,1,2,[16],"[(5, 5)]","[32, 16]","(2, 2)",14.090556328851836
2,6168387c-f17f-45ff-b0cf-76906fabb8b3,untrimmed,2,114458,40,0.1,tanh,mse,adam,90.0,2,3,"[32, 16]","[(5, 5), (5, 5)]","[32, 64, 16]","(2, 2)",15.940508148018434
2,56ef08bf-b3f2-45a0-83d3-9f877c94f498,untrimmed,3,114458,30,0.2,sigmoid,mae,adam,90.0,3,3,"[8, 64, 8]","[(8, 8), (3, 3), (5, 5)]","[16, 16, 64]","(2, 2)",15.208622451423192
2,889efebc-f9a5-4088-a313-e4b987d86f92,untrimmed,3,119671,25,0.15,tanh,mae,rmsprop,94.0,3,1,"[32, 64, 8]","[(7, 7), (3, 3), (4, 4)]",[8],"(2, 2)",4.437444851080054
2,df83331d-c7ef-4122-98d0-7ed9c9bfa990,untrimmed,3,119671,35,0.25,relu,mae,rmsprop,90.0,2,2,"[8, 32]","[(4, 4), (8, 8)]","[8, 64]","(4, 4)",3.7401048312635528
